Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT day3 2-3,F13,2.12E-09,EC_11188498,2,0.172496025,0.967782207,0.129451902,1.17034036,-0.046657228,0.093119675,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,F14,6.35E-10,EC_11188498,2,0.095654478,1.040945568,0.013635701,1.054649258,-0.031011614,-0.009695719,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,K15,3.23E-05,EC_11261479,2,-0.333527527,0.588837012,-0.068906756,-0.017685471,-0.091072285,-0.331696899,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-1,K16,9.68E-06,EC_11261479,2,-0.33556656,-3.468271375,-0.068906756,-0.017685471,-0.279502506,-0.333578079,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-1,K17,2.90E-06,EC_11261479,2,-0.33556656,-5.274319829,-0.068906756,-0.017685471,-0.40296492,-0.333578079,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-1,K18,8.71E-07,EC_11261479,2,-0.33556656,-3.423318053,0.576979235,-0.017685471,-0.314397786,-0.092519732,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-1,K19,2.61E-07,EC_11261479,2,-0.325662686,0.154587151,0.297677185,0.066090714,-0.214365902,-0.195808552,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-1,K20,7.84E-08,EC_11261479,2,-0.140984562,0.586172038,-0.01981557,0.019270939,-0.041944533,-0.139348396,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-1,K21,2.35E-08,EC_11261479,2,0.122633265,0.527930339,0.08846648,0.377646692,-0.162071211,0.109262812,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-1,K22,7.06E-09,EC_11261479,2,0.056801631,0.951526036,0.047352723,0.921414535,0.06966999,-0.019940442,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-1,K23,2.12E-09,EC_11261479,2,0.058549374,0.765921462,0.01397242,0.695524175,-0.042785835,-0.008717837,FALSE,Not Fitted,FALSE,FALSE
