Plate,Well,Class,G/N,Surface_nucleus,R/N,Nuclei,Eccentricity,CPD_ID,Concentration
EMT-Serie2-3-C2,D19,2,0.745221909,0.900637398,0.362573722,0.192307692,0.544771192,EC_11188057,2.61E-07
EMT-Serie2-3-C2,D20,2,0.758775319,0.923988801,-0.014613541,0.027225583,0.742191071,EC_11188057,7.84E-08
EMT-Serie2-3-C2,D21,2,0.813179466,1.353845237,0.12487599,0.060933449,0.599497181,EC_11188057,2.35E-08
EMT-Serie2-3-C2,D22,2,0.845768733,1.146541967,0.004947077,-0.105445117,0.824546701,EC_11188057,7.06E-09
EMT-Serie2-3-C2,D23,2,0.754810901,1.330255555,-0.031326559,-0.138288678,0.802859465,EC_11188057,2.12E-09
EMT-Serie2-3-C2,D24,2,0.834026678,1.431286114,-0.108673057,-0.258859118,0.53136269,EC_11188057,6.35E-10
EMT-Serie2-3-C3,D15,2,-0.022673937,-0.283510514,0.089736362,0.631294216,-1.92263086,EC_11188057,3.23E-05
EMT-Serie2-3-C3,D16,2,0.050417686,-1.037603787,0.345895012,0.749479817,-1.027061158,EC_11188057,9.68E-06
EMT-Serie2-3-C3,D17,2,0.444728285,-0.130938155,0.949606267,0.754057428,-0.548027113,EC_11188057,2.90E-06
EMT-Serie2-3-C3,D18,2,0.510472644,0.07115698,0.772883539,0.443612151,-0.163062808,EC_11188057,8.71E-07
EMT-Serie2-3-C3,D19,2,0.704487542,1.399068829,0.41872101,0.262588431,0.400298961,EC_11188057,2.61E-07
EMT-Serie2-3-C3,D20,2,0.972306522,1.230806239,-0.064691381,-0.12068248,1.127728667,EC_11188057,7.84E-08
EMT-Serie2-3-C3,D21,2,0.825301321,0.758624971,-0.070829585,0.037037037,0.728563697,EC_11188057,2.35E-08
EMT-Serie2-3-C3,D22,2,1.003121849,1.026724606,-0.024428678,-0.065334998,0.54158398,EC_11188057,7.06E-09
EMT-Serie2-3-C3,D23,2,1.038728769,1.214495228,-0.029300686,-0.124843945,1.11432695,EC_11188057,2.12E-09
EMT-Serie2-3-C3,D24,2,0.726012246,1.15320866,0.040433574,-0.10528506,0.255611969,EC_11188057,6.35E-10
EMT-Serie2-2-C1,N05,2,-0.025863394,-0.508708258,-0.147649504,-0.049940072,-1.699844267,EC_11258179,3.23E-05
EMT-Serie2-2-C1,N06,2,0.649696576,-0.707548509,0.919965404,0.912504994,-0.255211606,EC_11258179,9.68E-06
EMT-Serie2-2-C1,N07,2,0.619598954,0.275521583,0.647586999,0.512185378,0.020354635,EC_11258179,2.90E-06
EMT-Serie2-2-C1,N08,2,0.820706683,0.645303218,0.241984766,0.281662006,0.458894566,EC_11258179,8.71E-07
EMT-Serie2-2-C1,N09,2,1.032254446,0.980434298,-0.075839463,0.052736716,0.962104861,EC_11258179,2.61E-07
EMT-Serie2-2-C1,N10,2,0.997678127,1.115163926,-0.07390034,-0.028365961,1.104997131,EC_11258179,7.84E-08
