PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 5_L22,4178_Plaque cell 5_20122017_1117,L22,,0.761501,0.144996,1743,105.574,0.25625,Plaque cell 5,EC_11188498,7.06E-09
Plaque cell 5_L23,4178_Plaque cell 5_20122017_1117,L23,,0.747318,0.228122,2010,102.915,0.274242,Plaque cell 5,EC_11188498,2.12E-09
Plaque cell 5_L24,4178_Plaque cell 5_20122017_1117,L24,,0.747982,0.103523,1314,111.595,0.254706,Plaque cell 5,EC_11188498,6.35E-10
Plaque cell 6_L15,4179_Plaque cell 6_20122017_1142,L15,,0.705216,0.407832,3403,94.288,0.251317,Plaque cell 6,EC_11188498,3.23E-05
Plaque cell 6_L16,4179_Plaque cell 6_20122017_1142,L16,,0.744971,0.155972,2094,106.397,0.332612,Plaque cell 6,EC_11188498,9.68E-06
Plaque cell 6_L17,4179_Plaque cell 6_20122017_1142,L17,,0.777802,0.131676,1899,102.213,0.381147,Plaque cell 6,EC_11188498,2.90E-06
Plaque cell 6_L18,4179_Plaque cell 6_20122017_1142,L18,,0.758872,0.0957209,1786,106.099,0.282168,Plaque cell 6,EC_11188498,8.71E-07
Plaque cell 6_L19,4179_Plaque cell 6_20122017_1142,L19,,0.750783,0.0840036,1961,106.747,0.301636,Plaque cell 6,EC_11188498,2.61E-07
Plaque cell 6_L20,4179_Plaque cell 6_20122017_1142,L20,,0.762112,0.122711,1810,109.132,0.413875,Plaque cell 6,EC_11188498,7.84E-08
Plaque cell 6_L21,4179_Plaque cell 6_20122017_1142,L21,,0.75568,0.103399,2099,102.626,0.255096,Plaque cell 6,EC_11188498,2.35E-08
Plaque cell 6_L22,4179_Plaque cell 6_20122017_1142,L22,,0.749583,0.122984,1765,109.633,0.290251,Plaque cell 6,EC_11188498,7.06E-09
Plaque cell 6_L23,4179_Plaque cell 6_20122017_1142,L23,,0.752219,0.0654498,1643,108.745,0.309706,Plaque cell 6,EC_11188498,2.12E-09
Plaque cell 6_L24,4179_Plaque cell 6_20122017_1142,L24,,0.764222,0.0624444,1367,110.726,0.311821,Plaque cell 6,EC_11188498,6.35E-10
Plaque cell 7_O15,4180_Plaque cell 7_20122017_1207,O15,,0.753956,0.134638,1876,102.378,0.280946,Plaque cell 7,EC_11188969,3.23E-05
Plaque cell 7_O16,4180_Plaque cell 7_20122017_1207,O16,,0.745862,0.158718,2138,101.672,0.281336,Plaque cell 7,EC_11188969,9.68E-06
Plaque cell 7_O17,4180_Plaque cell 7_20122017_1207,O17,,0.758023,0.132002,1939,101.83,0.311364,Plaque cell 7,EC_11188969,2.90E-06
Plaque cell 7_O18,4180_Plaque cell 7_20122017_1207,O18,,0.76098,0.0961205,1848,102.476,0.27471,Plaque cell 7,EC_11188969,8.71E-07
Plaque cell 7_O19,4180_Plaque cell 7_20122017_1207,O19,,0.765833,0.098442,1660,105.372,0.273277,Plaque cell 7,EC_11188969,2.61E-07
