CPD_ID,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,EC_50 LDA_1,Bottom LDA_1,Top LDA_1,Slope LDA_1,R2 LDA_1,Run
EC_11265545,9.54E-07,0.0118,0.445,17.7,0.571,8.63E-07,0.0345,0.59,11.4,0.651,7.40E-06,-0.144,0.992,1.4,0.819,9.87E-07,0.351,0.966,3.43,0.888,1
EC_11190481,2.73E-05,-0.0715,0.0468,15.2,0.184,1.80E-07,-0.213,0.439,0.199,0.58,6.35E-10,0.582,0.931,9.17,0.0299,9.99E-06,0.619,0.948,11.4,0.724,1
EC_11176072,2.94E-05,-0.068,0.0376,0.837,0.0877,2.61E-09,-0.0535,0.094,2.06,0.328,8.72E-10,0.519,1.07,1.59,0.251,1.48E-07,0.934,0.964,10.7,0.0661,1
EC_11257708,3.03E-06,0.0233,0.215,16.5,0.561,3.14E-08,-0.168,0.257,0.278,0.557,3.05E-09,0.85,0.966,2.43,0.0155,6.16E-06,0.576,0.961,2.07,0.893,1
EC_11301156,1.99E-05,0.0227,0.926,4.06,0.961,1.29E-05,-0.00207,0.824,4.64,0.92,6.35E-10,0.752,0.835,7.27,0.00376,1.45E-05,0.144,0.942,3.79,0.945,1
EC_11261479,8.39E-07,0.00731,0.161,2.83,0.365,6.21E-09,-0.253,0.0556,0.384,0.464,1.10E-05,0.0581,0.844,10.2,0.785,3.20E-06,0.662,0.963,14.6,0.857,1
EC_11259170,4.74E-07,-0.0189,0.0428,2.87,0.15,2.70E-05,-0.564,-0.0449,16.7,0.817,4.32E-08,0.575,0.789,2.29,0.137,7.17E-08,0.903,1,0.761,0.279,1
EC_11191643,8.11E-08,0.0108,0.064,15.7,0.107,1.82E-05,-0.532,-0.007,3.65,0.846,8.66E-06,-0.108,0.999,2.08,0.882,8.60E-08,0.887,1.01,13.8,0.46,1
EC_11191242,3.05E-06,0.0115,0.202,16.5,0.379,3.07E-06,0.0415,0.531,12,0.875,7.83E-06,0.0909,1.12,0.74,0.739,3.01E-06,0.494,0.973,13.7,0.94,1
EC_11191538,7.92E-06,-0.0326,0.0469,12.8,0.266,1.03E-05,-0.155,0.0574,1.42,0.563,5.36E-06,0.351,1.09,3.68,0.805,3.99E-06,0.758,1.01,0.343,0.495,1
EC_11259165,1.38E-06,-0.0026,0.0729,3.23,0.133,5.06E-06,0.0499,0.162,14.4,0.46,1.71E-05,0.000827,1.15,5.14,0.82,6.94E-06,0.668,1,1.57,0.852,1
EC_11191211,3.76E-08,0.0216,0.0676,12.5,0.17,2.69E-06,0.0646,0.269,15.3,0.753,7.69E-06,0.00544,1.21,1.88,0.884,2.92E-06,0.57,0.995,1.85,0.92,1
EC_11259174,2.96E-06,0.0352,0.164,15.8,0.499,3.47E-09,0.071,0.0944,12.9,0.0286,1.27E-05,0.558,1.1,8.19,0.669,9.74E-06,0.757,0.954,13.6,0.639,1
EC_11258170,1.51E-05,0.0426,0.594,3.16,0.901,1.82E-05,0.0881,0.424,3.8,0.736,5.22E-06,0.591,1.14,1.09,0.57,1.31E-05,0.439,0.96,2.76,0.864,1
EC_11257109,3.15E-06,-0.0914,0.0115,17,0.738,4.14E-07,0.0864,0.0972,7.39,0.000358,9.74E-07,-0.108,1.1,0.936,0.939,4.70E-07,0.707,0.954,2.73,0.623,1
EC_11261486,1.02E-05,0.0216,0.187,0.331,0.278,3.23E-05,0.0887,0.133,0.314,0.0236,2.58E-05,0.683,1.12,14.1,0.475,1.15E-05,0.737,0.966,1.07,0.599,1
EC_11262262,9.21E-07,0.0308,0.0975,9.66,0.124,6.80E-06,0.0784,0.368,2.86,0.727,1.49E-05,0.0603,1.08,3.15,0.814,6.71E-06,0.566,0.961,1.9,0.852,1
EC_11258805,2.59E-06,-0.079,0.0152,2.24,0.671,1.09E-05,-0.682,0.0494,1.96,0.964,6.36E-06,-0.108,1.19,1.09,0.899,3.11E-05,0.732,1,12.1,0.482,1
EC_11191287,5.31E-06,0.0482,0.129,12.3,0.164,2.91E-05,-0.0999,0.13,15.8,0.354,9.36E-07,1.1,1.17,10.4,0.0274,1.15E-08,0.914,0.962,11.4,0.0756,1
EC_11190004,2.84E-06,-0.132,0.0218,0.679,0.708,2.75E-05,-0.693,0.0413,16.5,0.943,1.71E-06,-0.0878,1.05,1.31,0.962,9.27E-07,0.826,0.98,15.7,0.608,1
EC_11191498,7.41E-07,0.00518,0.0815,16.4,0.412,3.32E-06,0.0245,0.283,13.6,0.863,2.85E-05,0.564,0.992,13.2,0.332,6.10E-06,0.669,0.972,2.03,0.82,1
EC_11257142,3.07E-06,-0.00502,0.229,15.2,0.293,3.07E-06,-0.0897,0.213,12.8,0.315,1.25E-05,-0.0868,0.906,2.87,0.788,3.04E-06,0.548,1.01,17.4,0.826,1
EC_11193590,1.21E-07,-0.011,0.0666,0.818,0.19,1.48E-09,-0.297,-0.104,1.92,0.0628,8.97E-06,-0.0932,0.726,1.59,0.855,1.63E-06,0.771,0.969,3.63,0.589,1
EC_11284159,6.37E-06,-0.119,0.0134,1.26,0.494,1.11E-05,-0.599,-0.0573,12.6,0.868,2.22E-05,0.224,0.821,2.26,0.44,1.02E-05,0.973,1.12,9.65,0.5,1
EC_11281258,2.96E-06,-0.0725,0.0213,15.2,0.394,1.08E-05,-0.691,-0.00797,2.19,0.895,9.72E-06,-0.0819,0.898,3.28,0.754,2.88E-05,0.733,0.974,14.6,0.57,1
EC_11259640,3.04E-06,-0.0011,0.715,15.6,0.945,1.45E-06,-0.0177,0.42,2.94,0.502,1.41E-05,-0.0635,0.833,4.14,0.74,3.11E-06,0.225,0.955,4.94,0.964,1
