Plate,Well,Concentration,CPD_ID,Class,Eccent,R/N,Nuclei,Surface_nucleus,G/N,LDA_1
4180_Plaque cell 7_20122017_1207,I17,2.90E-06,EC_11188016,2,0.845804008,0.043768878,0.101341282,0.742398778,0.958392391,0.926314777
4180_Plaque cell 7_20122017_1207,J17,2.90E-06,EC_11193182,2,0.808542707,0.099575805,0.160208644,0.613351355,0.86225622,0.864699624
4180_Plaque cell 7_20122017_1207,K17,2.90E-06,EC_11189738,2,1.0511278,0.01411505,0.076751118,0.627689957,0.892070783,0.959847742
4180_Plaque cell 7_20122017_1207,L17,2.90E-06,EC_11190219,2,0.870024509,0.038515315,0.121087928,1.074043603,1.31693812,0.977896406
4180_Plaque cell 7_20122017_1207,M17,2.90E-06,EC_11257101,2,1.080328707,0.049195134,0.012295082,0.947934419,1.163103827,1.016982184
4180_Plaque cell 7_20122017_1207,N17,2.90E-06,EC_11177295,2,1.009436559,0.044993764,0.041356185,0.709525768,1.182931422,1.000685873
4180_Plaque cell 7_20122017_1207,O17,2.90E-06,EC_11188969,2,0.858792383,0.049714446,0.072652757,1.046776753,1.025706271,0.948258922
4180_Plaque cell 7_20122017_1207,P17,2.90E-06,EC_11263657,2,0.760625958,0.018982521,-0.131147541,1.780631134,0.625802786,0.971232817
4180_Plaque cell 7_20122017_1207,A18,8.71E-07,EC_11189828,2,0.87195114,0.044441147,-0.030923994,0.54809896,0.9761355,0.981328138
4180_Plaque cell 7_20122017_1207,B18,8.71E-07,EC_11189194,2,0.872763732,0.090664854,0.061102832,1.129282482,0.935630812,0.926943931
4180_Plaque cell 7_20122017_1207,C18,8.71E-07,EC_11193277,2,0.864074234,0.098547049,0.130402385,1.169124993,1.184658974,0.933339057
4180_Plaque cell 7_20122017_1207,D18,8.71E-07,EC_11189359,2,0.843248273,0.057551001,0.032414307,1.792149027,1.143419005,0.980463986
4180_Plaque cell 7_20122017_1207,E18,8.71E-07,EC_11191283,2,0.534371355,0.038776822,0.185171386,1.163248516,1.063573229,0.877478049
