Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT 1-2,O17,2.90E-06,EC_11509478,2,0.39780658,0.459234582,0.274013192,0.666032994,0.250598784,0.311679265,False,Not Fitted,False,False
EMT 1-2,O18,8.71E-07,EC_11509478,2,0.22698571,0.542511628,-0.013124041,0.7103568,0.072300512,0.074023681,False,Not Fitted,False,False
EMT 1-2,O19,2.61E-07,EC_11509478,2,0.135260884,0.87794274,-0.017531583,0.96387682,-0.01972326,-0.064133824,False,Not Fitted,False,False
EMT 1-2,O20,7.84E-08,EC_11509478,2,0.13924892,0.925771476,0.044344592,0.819733576,-0.052641027,-0.017811625,False,Not Fitted,False,False
EMT 1-2,O21,2.35E-08,EC_11509478,2,-0.075440346,0.854933606,-0.188484895,0.796925144,-0.096880182,-0.271604345,False,Not Fitted,False,False
EMT 1-2,O22,7.06E-09,EC_11509478,2,-0.019607843,0.81193069,-0.038987103,0.70264413,-0.035863265,-0.165459886,False,Not Fitted,False,False
EMT 1-2,O23,2.12E-09,EC_11509478,2,0.035892323,0.699760782,0.079570868,0.619293604,-0.084713174,-0.068903253,False,Not Fitted,False,False
EMT 1-2,O24,6.35E-10,EC_11509478,2,-0.164838817,1.272925288,0.116008737,0.844099983,-0.123826643,-0.295918641,False,Not Fitted,False,False
EMT 1-3,O15,3.23E-05,EC_11509478,2,0.571242681,0.246264661,0.31740264,0.106181573,0.677644938,0.596771215,False,Not Fitted,False,False
EMT 1-3,O16,9.68E-06,EC_11509478,2,0.470396877,0.184330453,0.21388182,0.325382557,0.478779039,0.433817517,False,Not Fitted,False,False
EMT 1-3,O17,2.90E-06,EC_11509478,2,0.366297983,0.442318895,0.485953669,0.613413675,0.252148974,0.340790454,False,Not Fitted,False,False
EMT 1-3,O18,8.71E-07,EC_11509478,2,0.158100195,0.780807718,0.149863277,0.742334437,0.054179539,0.039642589,False,Not Fitted,False,False
EMT 1-3,O19,2.61E-07,EC_11509478,2,-0.1258946,0.900566001,0.183906139,0.827554092,-0.006584996,-0.239913243,False,Not Fitted,False,False
EMT 1-3,O20,7.84E-08,EC_11509478,2,0.03741054,1.134423135,0.011883912,0.99790319,-0.013894375,-0.157295015,False,Not Fitted,False,False
EMT 1-3,O21,2.35E-08,EC_11509478,2,0.019518543,0.816700726,0.109045018,0.723045554,-0.047311017,-0.098065706,False,Not Fitted,False,False
EMT 1-3,O22,7.06E-09,EC_11509478,2,0.092713077,0.852997371,0.10943194,0.831733561,0.00574917,-0.049525856,False,Not Fitted,False,False
EMT 1-3,O23,2.12E-09,EC_11509478,2,-0.050097593,0.842628151,0.20504807,0.653421594,-0.0412521,-0.12865008,False,Not Fitted,False,False
EMT 1-3,O24,6.35E-10,EC_11509478,2,-0.25504229,1.303873347,0.004878353,0.85578287,-0.036741918,-0.409787149,False,Not Fitted,False,False
EMT 1-1,B15,3.23E-05,EC_11509486,2,0.4040572,-0.070809458,0.802628856,0.53195815,-0.112479966,0.465705975,False,False,Not Fitted,False
EMT 1-1,B16,9.68E-06,EC_11509486,2,0.268706352,0.263341396,0.666623415,0.728161098,-0.098417892,0.266890658,False,False,Not Fitted,False
EMT 1-1,B17,2.90E-06,EC_11509486,2,0.040904556,0.284209462,0.651230384,0.579930728,-0.02232508,0.075285933,False,False,Not Fitted,False
EMT 1-1,B18,8.71E-07,EC_11509486,2,-0.043897572,0.603050901,0.305707587,1.075428683,0.027824884,-0.182307906,False,False,Not Fitted,False
EMT 1-1,B19,2.61E-07,EC_11509486,2,-0.073495178,0.698246073,0.050407987,0.904704529,0.020981718,-0.235852461,False,False,Not Fitted,False
EMT 1-1,B20,7.84E-08,EC_11509486,2,-0.065181244,0.38315552,0.080028829,1.05394792,0.025540504,-0.250371225,False,False,Not Fitted,False
