Plate,Well,G/N,R/N,Nuclei,Eccent,CPD_ID,Concentration
EMT-Serie2-1-C3,C08,0.935095612,0.208644178,0.167801362,0.633785568,EC_11190878,8.71E-07
EMT-Serie2-1-C3,C09,1.012119646,-0.039081112,-0.081297557,1.226725897,EC_11190878,2.61E-07
EMT-Serie2-1-C3,C10,1.204395774,0.148283971,0.048057669,0.913458999,EC_11190878,7.84E-08
EMT-Serie2-1-C3,C11,1.046016587,0.092035579,-0.015618742,1.044231,EC_11190878,2.35E-08
EMT-Serie2-1-C3,C12,1.21364777,-0.027883723,-0.032438927,0.867523112,EC_11190878,7.06E-09
EMT-Serie2-1-C3,C13,1.34264212,-0.024580011,-0.037244694,1.583071197,EC_11190878,2.12E-09
EMT-Serie2-1-C3,C14,0.908668917,0.122101737,0.060072087,0.801584824,EC_11190878,6.35E-10
EMT-Serie2-4-C1,O05,0.196095392,-0.164110221,0.491652755,-0.924059231,EC_11190967,3.23E-05
EMT-Serie2-4-C1,O06,0.750669922,0.418795355,0.54590985,-0.434696373,EC_11190967,9.68E-06
EMT-Serie2-4-C1,O07,0.831502343,-0.053946476,0.08263773,0.627333243,EC_11190967,2.90E-06
EMT-Serie2-4-C1,O08,1.046593532,0.017450768,-0.010434057,0.726260019,EC_11190967,8.71E-07
EMT-Serie2-4-C1,O09,1.101377179,-0.063531703,-0.059682805,1.073115066,EC_11190967,2.61E-07
EMT-Serie2-4-C1,O10,0.723003788,0.087093703,0.16903172,0.30180682,EC_11190967,7.84E-08
EMT-Serie2-4-C1,O11,1.022586053,-0.108206016,-0.115191987,0.951338133,EC_11190967,2.35E-08
EMT-Serie2-4-C1,O12,0.856453876,0.056605352,0.135642738,0.429534031,EC_11190967,7.06E-09
EMT-Serie2-4-C1,O13,0.89955975,0.077675828,-0.00375626,0.570737672,EC_11190967,2.12E-09
EMT-Serie2-4-C1,O14,0.905220513,0.048797519,0.090984975,0.518788208,EC_11190967,6.35E-10
EMT-Serie2-4-C2,O05,0.154125437,-0.202134471,0.392763731,-1.514610947,EC_11190967,3.23E-05
EMT-Serie2-4-C2,O06,0.573519841,0.489961998,0.528334786,-0.419210978,EC_11190967,9.68E-06
EMT-Serie2-4-C2,O07,0.90551195,-0.013325928,0.047951177,0.644971152,EC_11190967,2.90E-06
EMT-Serie2-4-C2,O08,0.897726825,-0.05589325,-0.006102877,0.643474193,EC_11190967,8.71E-07
EMT-Serie2-4-C2,O09,0.706111527,-0.158728788,-0.088055798,0.808326836,EC_11190967,2.61E-07
EMT-Serie2-4-C2,O10,0.816886521,-0.093457206,-0.075850044,0.886480586,EC_11190967,7.84E-08
EMT-Serie2-4-C2,O11,0.785389372,-0.041545802,-0.092414996,0.801247466,EC_11190967,2.35E-08
EMT-Serie2-4-C2,O12,0.700075677,-0.090916807,0.049694856,0.721035397,EC_11190967,7.06E-09
EMT-Serie2-4-C2,O13,0.89149397,-0.119315373,-0.122057541,0.869608608,EC_11190967,2.12E-09
