Plate,Well,Nuclei,R/N,Eccent,CPD_ID,Concentration,G/N
EMT-Serie2-5-C1,E07,-0.039462636,0.00035676,1.475540387,DMSO,0.00E+00,1.01944252
EMT-Serie2-5-C1,F07,-0.081024349,-0.051588938,1.283664288,DMSO,0.00E+00,1.313008666
EMT-Serie2-5-C1,G07,-0.007556675,0.024936104,1.205838246,DMSO,0.00E+00,0.920931371
EMT-Serie2-5-C1,H07,0.060873216,0.085543938,1.149782811,DMSO,0.00E+00,1.025282743
EMT-Serie2-5-C1,I07,0.003358522,-0.040349568,1.225204261,DMSO,0.00E+00,0.902849081
EMT-Serie2-5-C1,J07,0.036523929,-0.054210411,0.933421243,DMSO,0.00E+00,0.931569731
EMT-Serie2-5-C1,K07,0.091939547,0.149067215,1.123073741,DMSO,0.00E+00,1.125365136
EMT-Serie2-5-C1,L07,0,-0.019683168,0.843572241,DMSO,0.00E+00,0.807785578
EMT-Serie2-5-C1,M07,0.046179681,-0.019042427,0.775985107,DMSO,0.00E+00,1.062794568
EMT-Serie2-5-C1,N07,0.02225021,0.038621422,0.737201365,DMSO,0.00E+00,0.803451672
EMT-Serie2-5-C1,O07,0.041141898,-0.049033109,0.975876513,DMSO,0.00E+00,0.92864475
EMT-Serie2-5-C1,P07,0.05961377,0.01877129,0.363972489,DMSO,0.00E+00,0.735807025
EMT-Serie2-5-C1,D08,-0.005457599,0.011479113,1.011686834,DMSO,0.00E+00,1.083577839
EMT-Serie2-5-C1,E08,-0.0302267,0.018854058,1.318155962,DMSO,0.00E+00,1.229557435
EMT-Serie2-5-C1,F08,0.005457599,0.017615387,0.696917985,DMSO,0.00E+00,0.990429696
EMT-Serie2-5-C1,G08,-0.027287993,0.011110937,1.132045713,DMSO,0.00E+00,1.077708399
EMT-Serie2-5-C1,H08,0.156171285,0.16774432,0.762721067,DMSO,0.00E+00,0.888922146
EMT-Serie2-5-C1,I08,0.015533165,-0.003350691,1.007627469,DMSO,0.00E+00,1.093700026
EMT-Serie2-5-C1,J08,-0.054995802,-0.000420977,0.912684869,DMSO,0.00E+00,0.982820201
EMT-Serie2-5-C1,K08,-0.031486146,-0.021235788,1.136001655,DMSO,0.00E+00,0.977635745
EMT-Serie2-5-C1,L08,0.033165407,-0.02597499,0.903687041,DMSO,0.00E+00,0.890074608
EMT-Serie2-5-C1,M08,0.06675063,0.026257544,0.967576792,DMSO,0.00E+00,0.922879194
EMT-Serie2-5-C1,N08,-0.035684299,-0.035918607,1.541576171,DMSO,0.00E+00,1.122582995
EMT-Serie2-5-C1,O08,0.02308984,-0.087541794,0.820353708,DMSO,0.00E+00,0.791501778
EMT-Serie2-5-C1,P08,-0.047858942,-0.117812176,0.56823353,DMSO,0.00E+00,0.741786842
EMT-Serie2-5-C1,D09,0.074307305,0.033835128,1.03575861,DMSO,0.00E+00,1.151436747
EMT-Serie2-5-C1,E09,0.189336692,0.166437151,0.955476264,DMSO,0.00E+00,0.976204095
EMT-Serie2-5-C1,F09,0.10411419,0.149004425,0.797523012,DMSO,0.00E+00,0.889646087
