Plate,Well,Concentration,CPD_ID,G/N,R/N,Nuclei,Eccent
EMT 1-2,E15,3.23E-05,EC_11497057,-0.025186782,-0.085023523,-0.5785416,-0.103931775
EMT 1-2,F15,3.23E-05,EC_11511738,0.325846183,0.51516899,0.546418246,0.151455553
EMT 1-2,G15,3.23E-05,EC_11497981,0.044450759,0.294393468,0.745261805,0.017802343
EMT 1-2,H15,3.23E-05,EC_11512806,0.041661106,0.074055089,-0.405396723,-0.577779285
EMT 1-2,I15,3.23E-05,EC_11498013,0.279498843,0.437582587,0.964021844,0.745290856
EMT 1-2,J15,3.23E-05,X-WE52880180,0.626219818,0.350011676,0.579826534,0.355453451
EMT 1-2,K15,3.23E-05,EC_11501541,-0.003610893,-0.095027966,0.117571474,-0.338905749
EMT 1-2,L15,3.23E-05,X-WE53705734,0.040455066,0.226589376,0.668165757,0.453451111
EMT 1-2,M15,3.23E-05,EC_11509470,0.069655038,0.010343335,-0.228397045,-0.117885421
EMT 1-2,N15,3.23E-05,EC_27082056,0.015128235,-0.125045281,-0.493735946,-0.103270545
EMT 1-2,O15,3.23E-05,EC_11509478,0.146231999,0.385669412,0.706392547,0.080975229
EMT 1-2,P15,3.23E-05,EC_27084143,-0.019804693,0.099194348,0.591390941,-0.345433275
EMT 1-2,A16,9.68E-06,EC_11494581,0.274428164,0.901140273,0.453581754,-0.710923857
EMT 1-2,B16,9.68E-06,EC_11509486,0.917341128,0.48227223,0.518149695,-0.047862871
EMT 1-2,C16,9.68E-06,EC_11497025,2.214756371,0.795895701,0.292322518,0.873043862
EMT 1-2,D16,9.68E-06,EC_11509578,0.682795649,0.935143417,0.419209765,0.192570489
EMT 1-2,E16,9.68E-06,EC_11497057,0.721098474,0.783472023,0.720526823,0.055882403
EMT 1-2,F16,9.68E-06,EC_11511738,0.630633108,0.228319436,0.5258593,0.345721504
EMT 1-2,G16,9.68E-06,EC_11497981,0.792476183,0.537369284,0.6321876,0.350519659
EMT 1-2,H16,9.68E-06,EC_11512806,0.175954411,0.584181988,0.932862191,-0.276546685
EMT 1-2,I16,9.68E-06,EC_11498013,0.384059111,0.324436698,0.755220045,0.484715417
EMT 1-2,J16,9.68E-06,X-WE52880180,0.953447934,0.336327831,0.438483778,0.534290704
EMT 1-2,K16,9.68E-06,EC_11501541,0.355702127,0.400274531,0.376485705,0.453942795
EMT 1-2,L16,9.68E-06,X-WE53705734,0.332750184,0.174983767,0.628975265,0.278242146
EMT 1-2,M16,9.68E-06,EC_11509470,0.483131455,1.096491753,0.591390941,0.532171377
EMT 1-2,N16,9.68E-06,EC_27082056,0.346266328,0.689069157,0.46321876,0.166273885
EMT 1-2,O16,9.68E-06,EC_11509478,0.393087583,0.201801825,0.648249277,0.119699564
EMT 1-2,P16,9.68E-06,EC_27084143,0.054341346,0.09701433,0.132348217,-0.571692579
EMT 1-2,A17,2.90E-06,EC_11494581,0.434007922,0.748208712,0.699967877,-0.278598193
EMT 1-2,B17,2.90E-06,EC_11509486,0.83281564,0.105616214,0.150658529,0.433359896
EMT 1-2,C17,2.90E-06,EC_11497025,2.09110632,0.479993963,0.024734982,1.114477544
EMT 1-2,D17,2.90E-06,EC_11509578,1.126579257,0.782200465,0.262126566,0.759414049
EMT 1-2,E17,2.90E-06,EC_11497057,1.250370986,0.200239788,0.27336974,0.567199607
EMT 1-2,F17,2.90E-06,EC_11511738,1.169075771,0.238074693,0.301638291,0.71648497
EMT 1-2,G17,2.90E-06,EC_11497981,1.059572334,0.294965883,0.3678124,0.551058816
EMT 1-2,H17,2.90E-06,EC_11512806,1.080714332,0.481362347,0.734982332,0.460995914
EMT 1-2,I17,2.90E-06,EC_11498013,1.089183174,0.333086996,0.472213299,0.535918347
EMT 1-2,J17,2.90E-06,X-WE52880180,1.184589584,0.329538594,0.429489239,0.612434513
EMT 1-2,K17,2.90E-06,EC_11501541,0.99130093,0.568199941,0.288146482,0.585307133
EMT 1-2,L17,2.90E-06,X-WE53705734,0.968430453,0.255527647,0.451333119,0.505196589
EMT 1-2,M17,2.90E-06,EC_11509470,1.162721483,0.769133176,0.348538387,0.691697326
EMT 1-2,N17,2.90E-06,EC_27082056,0.912849914,0.638991411,0.313845165,0.669232465
EMT 1-2,O17,2.90E-06,EC_11509478,0.93006033,0.137212938,0.362993897,0.509130059
EMT 1-2,P17,2.90E-06,EC_27084143,0.550846771,0.068162919,0.17346611,0.13409403
EMT 1-2,A18,8.71E-07,EC_11494581,0.600912467,0.093253765,0.12174751,0.03804615
EMT 1-2,B18,8.71E-07,EC_11509486,0.876838741,0.011512371,0.037905557,0.824587579
EMT 1-2,C18,8.71E-07,EC_11497025,1.855317611,0.457470439,0.013491809,0.952204947
EMT 1-2,D18,8.71E-07,EC_11509578,1.317870241,0.297808022,0.119177642,0.870653261
EMT 1-2,E18,8.71E-07,EC_11497057,1.252039252,0.034295047,0.076453582,1.084942609
EMT 1-2,F18,8.71E-07,EC_11511738,0.973102306,0.090786116,0.154192098,0.784608603
EMT 1-2,G18,8.71E-07,EC_11497981,1.29688409,0.067651733,0.150016062,0.985978535
EMT 1-2,H18,8.71E-07,EC_11512806,1.205802421,0.128986968,0.185351751,0.788101253
EMT 1-2,I18,8.71E-07,EC_11498013,1.227227776,0.167800105,0.212014134,0.741052203
EMT 1-2,J18,8.71E-07,X-WE52880180,1.339065369,0.159860342,0.20526823,0.843356335
EMT 1-2,K18,8.71E-07,EC_11501541,1.353456378,0.176924567,0.17346611,1.007697394
EMT 1-2,L18,8.71E-07,X-WE53705734,1.133146062,0.095631707,0.218760039,0.791559994
EMT 1-2,M18,8.71E-07,EC_11509470,1.350332364,0.309734753,0.164150337,0.822671708
EMT 1-2,N18,8.71E-07,EC_27082056,1.183488032,0.311016278,0.205910697,0.793526729
EMT 1-2,O18,8.71E-07,EC_11509478,0.990465026,0.031673615,0.090266624,0.865770333
