Plate,Well,Concentration,Compound Name,Plate Name,Class,G,R,Nuclei,Eccent,LDA_1
EMT-Serie2-1-C1,A10,7.84E-08,EC_11187255,EMT-Serie2-1-C1,2,0.85943116,-0.055388125,-0.157597743,0.612611202,-0.287700617
EMT-Serie2-1-C1,B10,7.84E-08,EC_11191498,EMT-Serie2-1-C1,2,1.113236849,-0.010244025,-0.050785973,1.085700869,-0.254786016
EMT-Serie2-1-C1,C10,7.84E-08,EC_11190878,EMT-Serie2-1-C1,2,1.318079637,0.046189134,0.040306328,1.101197464,-0.238438389
EMT-Serie2-1-C1,D10,7.84E-08,EC_11193483,EMT-Serie2-1-C1,2,1.109475116,0.046530286,-0.052398227,1.075056743,-0.207064328
EMT-Serie2-1-C1,E10,7.84E-08,EC_11190059,EMT-Serie2-1-C1,2,0.953180193,0.056527549,0.084643289,0.947849,-0.11786284
EMT-Serie2-1-C1,F10,7.84E-08,EC_11259170,EMT-Serie2-1-C1,2,1.210823076,0.126431527,0.077791213,1.306618664,-0.108784372
EMT-Serie2-1-C1,G10,7.84E-08,EC_11192169,EMT-Serie2-1-C1,2,1.120620712,0.019047927,0.064490125,1.152252746,-0.205321448
EMT-Serie2-1-C1,H10,7.84E-08,EC_11258805,EMT-Serie2-1-C1,2,1.076740113,0.033292746,-0.000806127,0.930917534,-0.209313504
EMT-Serie2-1-C1,I10,7.84E-08,EC_11281652,EMT-Serie2-1-C1,2,1.222259198,-0.020630985,0.044336961,1.307323054,-0.255850534
EMT-Serie2-1-C1,J10,7.84E-08,EC_11265529,EMT-Serie2-1-C1,2,1.13341136,0.183635989,0.179766223,0.810231927,-0.032912203
EMT-Serie2-1-C1,K10,7.84E-08,EC_11281741,EMT-Serie2-1-C1,2,1.30138388,-0.012197901,-0.006045949,1.34862122,-0.282368641
EMT-Serie2-1-C1,L10,7.84E-08,EC_11265537,EMT-Serie2-1-C1,2,1.314925365,0.020532549,0.039097138,0.969659023,-0.270053193
EMT-Serie2-1-C1,M10,7.84E-08,EC_11257101,EMT-Serie2-1-C1,2,1.314638613,-0.053594713,-0.041112455,1.116876679,-0.355504817
EMT-Serie2-1-C1,N10,7.84E-08,EC_11191782,EMT-Serie2-1-C1,2,1.165965256,-0.036909236,-0.061265619,1.081057108,-0.304133005
EMT-Serie2-1-C1,O10,7.84E-08,EC_11258170,EMT-Serie2-1-C1,2,0.776386276,-0.036809452,0.059653366,0.559103598,-0.217414343
EMT-Serie2-1-C1,P10,7.84E-08,EC_11192156,EMT-Serie2-1-C1,2,0.97080412,-0.023419538,-0.227730754,0.939083249,-0.287426033
EMT-Serie2-1-C1,A11,2.35E-08,EC_11187255,EMT-Serie2-1-C1,2,0.696631494,0.106095849,-0.043933898,0.502987138,-0.062556833
EMT-Serie2-1-C1,B11,2.35E-08,EC_11191498,EMT-Serie2-1-C1,2,0.997400367,0.082568436,0.083434099,0.864443923,-0.127382857
EMT-Serie2-1-C1,C11,2.35E-08,EC_11190878,EMT-Serie2-1-C1,2,1.195591264,-0.040098274,-0.070536074,1.5647909,-0.290303621
EMT-Serie2-1-C1,D11,2.35E-08,EC_11193483,EMT-Serie2-1-C1,2,1.285167301,0.030466436,0.009673519,0.895932796,-0.2613299
EMT-Serie2-1-C1,E11,2.35E-08,EC_11190059,EMT-Serie2-1-C1,2,1.180748076,-0.027460784,0.007658202,1.107223918,-0.290865932
EMT-Serie2-1-C1,F11,2.35E-08,EC_11259170,EMT-Serie2-1-C1,2,1.249330849,0.036924069,0.016928658,1.298139887,-0.215945547
EMT-Serie2-1-C1,G11,2.35E-08,EC_11192169,EMT-Serie2-1-C1,2,0.998437956,0.007029367,0.041112455,1.117920221,-0.180629662
EMT-Serie2-1-C1,H11,2.35E-08,EC_11258805,EMT-Serie2-1-C1,2,1.382949727,0.137703057,0.091898428,1.012757298,-0.156803729
EMT-Serie2-1-C1,I11,2.35E-08,EC_11281652,EMT-Serie2-1-C1,2,0.980029234,-0.025071366,-0.083434099,1.13855626,-0.307728676
EMT-Serie2-1-C1,J11,2.35E-08,EC_11265529,EMT-Serie2-1-C1,2,1.242592178,0.024236687,0.053607416,0.964519579,-0.24058706
EMT-Serie2-1-C1,K11,2.35E-08,EC_11281741,EMT-Serie2-1-C1,2,1.27300298,0.063293973,0.020556227,1.062482064,-0.224258921
