Plate,Well,Class,G,Surface_nucleus,R,Nuclei,Eccentricity,Plate_Sanofi,COMPOUND_MASK,Concentration
4082_EMT-Serie2-1-C1_29112017_1156,D09,2,1.097506993,0.7182181879999999,0.083210289,0.016525595,1.044533145,EMT-Serie2-1-C1,EC_11193483,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,E09,2,1.240577368,0.980094694,-0.013137757,0.016928658,1.171062586,EMT-Serie2-1-C1,EC_11190059,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,F09,2,1.362477145,0.907508228,0.024140949,0.042724708,1.184393833,EMT-Serie2-1-C1,EC_11259170,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,G09,2,1.063319365,0.968484285,0.067317689,0.08746473199999999,0.8899063420000001,EMT-Serie2-1-C1,EC_11192169,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,H09,2,1.062674174,1.292193254,0.201536402,0.129383313,1.069525971,EMT-Serie2-1-C1,EC_11258805,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,I09,2,0.950950319,0.573289942,-0.030281701,-0.008061266,1.248154235,EMT-Serie2-1-C1,EC_11281652,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,J09,2,1.38112357,1.6335319380000002,0.22273103,0.174123337,1.144947953,EMT-Serie2-1-C1,EC_11265529,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,K09,2,1.253911335,1.178536036,0.095675179,0.094719871,1.109545798,EMT-Serie2-1-C1,EC_11281741,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,L09,2,1.2273490459999998,0.923792163,0.062085779,-0.032648126,1.1266598840000002,EMT-Serie2-1-C1,EC_11265537,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,M09,2,0.982485491,0.902724592,-0.018233475,0.008061266,1.063316898,EMT-Serie2-1-C1,EC_11257101,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,N09,2,0.950682432,0.6809278540000001,0.058388383,0.00362757,1.029819206,EMT-Serie2-1-C1,EC_11191782,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,O09,2,0.6460575,0.662148109,0.036418407,0.15356711,0.293313506,EMT-Serie2-1-C1,EC_11258170,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,P09,2,0.8390906340000001,1.2510858,-0.05394126,-0.264812576,0.350395241,EMT-Serie2-1-C1,EC_11192156,2.613e-07
4082_EMT-Serie2-1-C1_29112017_1156,A10,2,0.85943116,0.8800543209999999,-0.055388125,-0.157597743,0.6126112020000001,EMT-Serie2-1-C1,EC_11187255,7.838999999999999e-08
4082_EMT-Serie2-1-C1_29112017_1156,B10,2,1.113236849,0.7177165790000001,-0.010244025,-0.050785973,1.085700869,EMT-Serie2-1-C1,EC_11191498,7.838999999999999e-08
4082_EMT-Serie2-1-C1_29112017_1156,C10,2,1.318079637,1.079107381,0.04618913400000002,0.040306328,1.101197464,EMT-Serie2-1-C1,EC_11190878,7.838999999999999e-08
4082_EMT-Serie2-1-C1_29112017_1156,D10,2,1.109475116,0.911802488,0.046530286,-0.052398227,1.075056743,EMT-Serie2-1-C1,EC_11193483,7.838999999999999e-08
4082_EMT-Serie2-1-C1_29112017_1156,E10,2,0.953180193,0.329581462,0.056527549,0.08464328900000001,0.947849,EMT-Serie2-1-C1,EC_11190059,7.838999999999999e-08
4082_EMT-Serie2-1-C1_29112017_1156,F10,2,1.2108230759999998,0.682506087,0.126431527,0.077791213,1.3066186640000002,EMT-Serie2-1-C1,EC_11259170,7.838999999999999e-08
4082_EMT-Serie2-1-C1_29112017_1156,G10,2,1.120620712,0.891028543,0.019047927,0.064490125,1.152252746,EMT-Serie2-1-C1,EC_11192169,7.838999999999999e-08
4082_EMT-Serie2-1-C1_29112017_1156,H10,2,1.076740113,1.010301332,0.033292746,-0.000806127,0.930917534,EMT-Serie2-1-C1,EC_11258805,7.838999999999999e-08
4082_EMT-Serie2-1-C1_29112017_1156,I10,2,1.222259198,0.614531975,-0.020630985,0.044336961,1.307323054,EMT-Serie2-1-C1,EC_11281652,7.838999999999999e-08
