Plate_Sanofi,Well,COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Concentration,PlateSanofi_Well
EMT-Serie2-1-C1,I10,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_I10
EMT-Serie2-1-C1,I11,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_I11
EMT-Serie2-1-C1,I12,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_I12
EMT-Serie2-1-C1,I13,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_I13
EMT-Serie2-1-C1,I14,EC_11281652,EB_11281654,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_I14
EMT-Serie2-1-C1,I15,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_I15
EMT-Serie2-1-C1,I16,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_I16
EMT-Serie2-1-C1,I17,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_I17
EMT-Serie2-1-C1,I18,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_I18
EMT-Serie2-1-C1,I19,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_I19
EMT-Serie2-1-C1,I20,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_I20
EMT-Serie2-1-C1,I21,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_I21
EMT-Serie2-1-C1,I22,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_I22
EMT-Serie2-1-C1,I23,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_I23
EMT-Serie2-1-C1,I24,EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_I24
EMT-Serie2-1-C1,J05,EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_J05
EMT-Serie2-1-C1,J06,EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_J06
EMT-Serie2-1-C1,J07,EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_J07
EMT-Serie2-1-C1,J08,EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_J08
