COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Well,Plate_Sanofi
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I17,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I18,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I19,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I20,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I21,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I22,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I23,EMT-Serie2-1-C2
EC_11190481,EB_11190483,2200116202a,EMT-Serie2-1,I24,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J05,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J06,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J07,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J08,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J09,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J10,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J11,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J12,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J13,EMT-Serie2-1-C2
EC_11265529,EB_11265531,2200116202a,EMT-Serie2-1,J14,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J15,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J16,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J17,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J18,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J19,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J20,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J21,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J22,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J23,EMT-Serie2-1-C2
EC_11261632,EB_11261636,2200116202a,EMT-Serie2-1,J24,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K05,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K06,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K07,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K08,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K09,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K10,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K11,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K12,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K13,EMT-Serie2-1-C2
EC_11281741,EB_11281743,2200116202a,EMT-Serie2-1,K14,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K15,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K16,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K17,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K18,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K19,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K20,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K21,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K22,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K23,EMT-Serie2-1-C2
EC_11259165,EB_11259167,2200116202a,EMT-Serie2-1,K24,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L05,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L06,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L07,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L08,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L09,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L10,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L11,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L12,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L13,EMT-Serie2-1-C2
EC_11265537,EB_11265539,2200116202a,EMT-Serie2-1,L14,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L15,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L16,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L17,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L18,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L19,EMT-Serie2-1-C2
